Marilyn Monroe,Panqueque,Adherir,Graciosa,Mosaico
Restaurante,Cubo de hielo,Cabecear,Interno,Embudo
Sur,Heladera,Croar,Arena movediza,Disputa
Lóbulo de la oreja,Cámara,Rogar,Roto,Columna
Mozo,Lentes de sol,Sombrear,Desventaja,Remo
Caddie,Zancos,Contar,Provincia,Cable
Jocketa,Bufanda,Envenenar,Palabra,Parquímetro
Cuadrúpedo,Sobre,Sobrecalentar,Cuatro ojos,Coma
Universidad,Collar de perro,Escoger,Rengo,Nube
Asia,Pastel de crema,Puntapié,Palmípedo,Hoja de trébol
Gigante,Postre,Espiar,Tender,Puño de camisa
Europa,Tinta,Apartarse,Marica,Gusano
Pintor,Megáfono,Aceitar,Celos,Almohada
Avestruz,Abrazadera,Echar agua,Vida,Tragaluz
Hospital,Perla,Tararear,Escenografía,Filoso
Cisne,Arado,Saltar,¡Ay!,Animal
Tobillo,Huevo,Ver,Incendio forestal,Mano única
Pantera,Hormiguero,Rebasar,Deportes,Aeropuerto
Mosquito,Diadema,Rascar,Parque de diversiones,Clima
Corrida de toros,Grúa,Toser,Antiácido,Pijamas
Huérfano,Gelatina,Decapitar,Veneno,Puente levadizo
Plutón,Canilla,Talar,Importar,Hogar a leña
